polyu_id,note_count,beat_count,is_duration_pred,has_rhythm_marked,qupai,source,volume,volume_region,volume_mode,qupai_brackets_removed
287.1,53,6,True,False,《奉時春》,月令承應,1,南詞,仙呂宮引,奉時春
287.2,53,5,True,False,《鵲橋仙（廣寒秋）》,琵琶記,1,南詞,仙呂宮引,鵲橋仙
288.1,53,7,True,False,《金雞叫》,月令承應,1,南詞,仙呂宮引,金雞叫
289.1,41,5,True,False,《探春令（景龍燈）》,月令承應,1,南詞,仙呂宮引,探春令
289.2,63,8,True,False,《望遠行》,勸善金科,1,南詞,仙呂宮引,望遠行
290.1,41,5,True,False,《天下樂（天下歡）》,勸善金科,1,南詞,仙呂宮引,天下樂
290.2,44,5,True,False,《紫蘇丸》,拜月亭,1,南詞,仙呂宮引,紫蘇丸
291.1,50,7,True,False,《似娘兒》,勸善金科,1,南詞,仙呂宮引,似娘兒
291.2,45,5,True,False,《夜行船（夜游湖）》,勸善金科,1,南詞,仙呂宮引,夜行船
292.1,37,5,True,False,《番卜算》,勸善金科,1,南詞,仙呂宮引,番卜算
292.2,47,5,True,False,《劍器令》,勸善金科,1,南詞,仙呂宮引,劍器令
293.1,79,10,True,False,《聲聲慢》,勸善金科,1,南詞,仙呂宮引,聲聲慢
294.1,52,8,True,False,《河傳（慶同天）》,明珠記,1,南詞,仙呂宮引,河傳
294.2,35,5,True,False,《卜算子（百尺樓）》,綵樓記,1,南詞,仙呂宮引,卜算子
295.1,89,12,True,False,《小蓬萊》,荊釵記,1,南詞,仙呂宮引,小蓬萊
295.2,107,10,True,False,《鷓鴣天（驪歌一疊）》,金蓮記,1,南詞,仙呂宮引,鷓鴣天
296.1,89,10,True,False,《杜韋娘》,荊釵記,1,南詞,仙呂宮引,杜韋娘
297.1,51,6,True,False,《糖多令（南樓令）》,紫釵記,1,南詞,仙呂宮引,糖多令
297.2,56,7,True,False,《夜遊宮》,牡丹亭,1,南詞,仙呂宮引,夜遊宮
298.1,75,10,True,False,《洞房春》,三元記,1,南詞,仙呂宮引,洞房春
299.1,100,10,True,False,《踏莎行》,三元記,1,南詞,仙呂宮引,踏莎行
300.1,176,21,True,False,《踈簾淡月（桂枝香）》,張輯詞,1,南詞,仙呂宮引,踈簾淡月
301.1,163,21,True,False,《八聲甘州（瀟湘雨）》,柳永詞,1,南詞,仙呂宮引,八聲甘州
302.1,91,12,True,False,《花心動（好心動）》,荊釵記,1,南詞,仙呂宮引,花心動
303.1,88,11,True,False,《花心動（好心動）》,琵琶記,1,南詞,仙呂宮引,花心動
304.1,93,11,True,False,《珍珠簾》,紫釵記,1,南詞,仙呂宮引,珍珠簾
305.1,90,10,True,False,《珍珠簾》,臥冰記,1,南詞,仙呂宮引,珍珠簾
306.1,58,7,True,False,《風入松慢》,一種情,1,南詞,仙呂宮引,風入松慢
306.2,94,9,True,False,《謁金門（垂楊碧）》,琵琶記,1,南詞,仙呂宮引,謁金門
307.1,67,9,True,False,《五供養》,綵樓記,1,南詞,仙呂宮引,五供養
307.2,71,9,True,False,《五供養》,拜月亭,1,南詞,仙呂宮引,五供養
308.1,90,11,True,False,《月上海棠》,東墻記,1,南詞,仙呂宮引,月上海棠
309.1,40,5,True,False,《海棠春（海棠花）》,水滸記,1,南詞,仙呂宮引,海棠春
310.1,59,8,True,False,《金瓏璁》,玉鏡記,1,南詞,仙呂宮引,金瓏璁
310.2,66,8,True,False,《惜奴嬌》,人獸關,1,南詞,仙呂宮引,惜奴嬌
311.1,54,5,True,False,《胡搗練（搖練子）》,殺狗記,1,南詞,仙呂宮引,胡搗練
311.2,41,5,True,False,《胡搗練（搖練子）》,琵琶記,1,南詞,仙呂宮引,胡搗練
312.1,76,9,True,False,《西河柳》,寶劍記,1,南詞,仙呂宮引,西河柳
312.2,34,5,True,False,《西河柳》,贈書記,1,南詞,仙呂宮引,西河柳
331.1,118,50,True,True,《步步嬌（潘妃曲）》,月令承應,2,南詞,仙呂宮正曲,步步嬌
331.2,73,27,True,True,《步步嬌（潘妃曲）》,琵琶記,2,南詞,仙呂宮正曲,步步嬌
332.1,128,48,True,True,《步步嬌（潘妃曲）》,散曲,2,南詞,仙呂宮正曲,步步嬌
333.1,130,50,True,True,《步步嬌（潘妃曲）》,散曲,2,南詞,仙呂宮正曲,步步嬌
333.2,144,50,True,True,《步步嬌（潘妃曲）》,牡丹亭,2,南詞,仙呂宮正曲,步步嬌
334.1,133,50,True,True,《步步嬌（潘妃曲）》,占花魁,2,南詞,仙呂宮正曲,步步嬌
336.1,178,87,True,True,《江兒水（岷江綠）》,月令承應,2,南詞,仙呂宮正曲,江兒水
337.1,107,47,True,True,《江兒水（岷江綠）》,金雀記,2,南詞,仙呂宮正曲,江兒水
337.2,161,81,True,True,《江兒水（岷江綠）》,荊釵記,2,南詞,仙呂宮正曲,江兒水
338.1,58,33,True,True,《古江兒水》,琵琶記,2,南詞,仙呂宮正曲,古江兒水
339.1,59,34,True,True,《古江兒水》,醉菩提,2,南詞,仙呂宮正曲,古江兒水
340.1,106,49,True,True,《皂羅袍（烏衣令、問花袍子）》,月令承應,2,南詞,仙呂宮正曲,皂羅袍
341.1,110,49,True,True,《皂羅袍（烏衣令、問花袍子）》,綵樓記,2,南詞,仙呂宮正曲,皂羅袍
